direccion,mun_clean,codigo_postal,provincia,gasolina_95,gasolina_98,diesel,diesel_premium,lon,lat,rotulo,horario,ultimo_dato
"(El Trebol) Avd. Jose Antonio Nº 7 (Salamanca-Coria Km 30,4)",Vecinos,37450,Salamanca,1.659,1.799,1.566,1.636,-5.877528,40.777472,EL TREBOL,L-S: 07:00-22:00; D: 08:00-22:00,2023-08-31 13:14
(El Trebol) Ctra. Fregeneda Nº 12-22 Salamanca,Salamanca,37008,Salamanca,1.659,1.799,1.566,1.636,-5.672750,40.955806,EL TREBOL,L-S: 07:00-22:00; D: 08:00-22:00,2023-08-31 13:16
"*El Trebol* Cr.alba De Tormes-Piedrahita  Km 5.200 Km 8,7",Calvarrasa De Arriba,37191,Salamanca,1.659,1.799,1.566,1.636,-5.586750,40.894167,EL TREBOL,L-S: 07:00-22:00; D: 08:00-22:00,2023-08-31 13:12
420 Km 275,Herencia,13640,Ciudad Real,1.729,1.859,1.649,1.709,-3.344889,39.373250,PETRONOR,L-D: 06:00-12:00,2023-09-01 00:00
"A 480 Km 25,8",Jerez De La Frontera,11408,Cádiz,1.739,1.879,1.669,1.749,-6.163639,36.682111,SHELL,L-V: 06:00-22:00,2023-08-31 14:00
"A Ii, Km Km 299,3",La Muela,50196,Zaragoza,1.789,1.929,1.679,1.759,-1.099611,41.585750,SHELL,L-D: 24H,2023-08-31 14:00
A Pedra,Cariño,15360,Coruña (A),1.779,1.799,1.649,1.679,-7.878278,43.731806,ORTEGAL OIL,L-D: 07:00-22:00,2023-08-31 12:45
A- 4 Km 628.5,Jerez De La Frontera,11407,Cádiz,1.799,1.939,1.719,1.799,-6.071500,36.758528,SHELL,L-D: 06:00-22:00,2023-08-31 14:00
"A-1 Km 152,8",Fuentespina,09471,Burgos,1.789,1.921,1.665,1.731,-3.684833,41.616306,CEPSA,L-D: 07:00-23:00,2023-09-01 00:00
A-121 Km 2,Alberite De San Juan,50529,Zaragoza,1.754,NA,1.669,1.745,-1.470056,41.815722,CEPSA,L-V: 09:00-13:00,2023-09-01 00:00
"A-131 Km 16,8",Ballobar,22234,Huesca,1.699,NA,1.669,1.709,0.194139,41.624333,CEPSA,L-V: 07:00-20:30; S: 07:00-14:00; D: 07:00-13:00,2023-08-29 10:18
A-132 Km 14,La Sotonera,22810,Huesca,1.779,NA,1.699,1.769,-0.548472,42.211917,REPSOL,L-V: 06:30-22:00; S-D: 07:30-22:00,2023-08-29 15:56
"A-140 Km 13,5",Tamarite De Litera,22550,Huesca,1.730,1.790,1.590,NA,0.419222,41.863667,ESC,L-D: 24H,2023-08-30 20:27
"A-2 Km 8,000",Molins De Rei,08750,Barcelona,1.799,NA,1.609,1.679,2.024121,41.391917,GALP,L-D: 24H,2023-08-31 19:33
"A-2003 Km 25,5",Jerez De La Frontera,11570,Cádiz,1.799,NA,1.719,NA,-5.857505,36.628164,LIBRE,L-D: 07:00-22:00,2023-08-29 08:36
A-231 Km 49,Sahagún,24320,León,1.764,1.896,1.669,1.765,-5.049028,42.380083,CEPSA,L-D: 06:00-23:59,2023-09-01 00:00
A-231 Km 50,Sahagún,24320,León,1.764,1.896,1.669,1.765,-5.049028,42.381389,CEPSA,L-D: 06:00-23:59,2023-09-01 00:00
A-334 Km 4.5,Baza,18800,Granada,1.769,1.829,1.699,1.779,-2.766909,37.481666,REPSOL,L-D: 06:30-22:30,2023-08-29 00:00
"A-345 Km 64,7",Albuñol,18700,Granada,1.729,1.889,1.699,1.759,-3.182889,36.761972,REPSOL,L: 07:00-20:00,2023-09-01 00:00
A-35 Km 39,Montesa,46692,Valencia / València,1.839,NA,1.719,1.799,-0.629028,38.954306,SHELL,L-D: 07:00-23:00,2023-08-31 15:00
A-354 Km 11,Antequera,29200,Málaga,1.799,1.929,1.699,1.779,-4.549972,37.022722,REPSOL,L-D: 07:00-23:00,2023-09-01 00:00
"A-4 Km 552,4",Dos Hermanas,41700,Sevilla,1.774,1.906,1.705,1.785,-5.952556,37.296389,CEPSA,L-V: 07:00-21:00; S: 07:00-15:00,2023-09-01 00:00
"A-432 Km 45,5",Cazalla De La Sierra,41370,Sevilla,1.759,NA,1.679,1.739,-5.763222,37.922250,CEPSA,L-D: 24H,2023-08-30 09:44
"A-45 Km 147,8",Casabermeja,29160,Málaga,1.824,NA,1.689,1.809,-4.429333,36.897833,CEPSA,L-D: 06:00-23:59,2023-09-01 00:00
A-494 Km 7.100,Moguer,21880,Huelva,1.809,1.959,1.719,1.809,-6.838583,37.264861,REPSOL,L: 07:00-23:00,2023-08-29 14:09
"A-5 Km 245,2",Trujillo,10200,Cáceres,1.819,NA,1.745,1.825,-5.835417,39.517556,CEPSA,L-D: 06:00-23:59,2023-09-01 06:00
"A-5 Km 351,5",Mérida,06800,Badajoz,1.729,NA,1.709,1.779,-6.448083,38.879583,CEPSA,L-D: 06:00-23:59,2023-09-01 00:00
"A-52 Salida 291, Ctra Ponteareas- As Neves, Km Po-9006",Salvaterra De Miño,36459,Pontevedra,1.769,1.919,1.659,1.759,-8.462000,42.141917,LA PARADA - VALCARCE,L-D: 24H,2023-08-30 15:24
"A-6 Km 25,5",Las Rozas De Madrid,28230,Madrid,1.798,1.918,1.728,1.778,-3.897500,40.552750,REPSOL,L-D: 24H,2023-08-30 07:00
"A-6, Salida 419/420 Km 419",Vega De Valcarce,24524,León,1.769,NA,1.649,NA,-6.914083,42.658806,VALCARCE,L-D: 24H,2023-09-01 00:00
"A-62 Km 138,6",Simancas,47130,Valladolid,1.784,1.916,1.689,1.779,-4.860583,41.566278,CEPSA,L-D: 24H,2023-09-01 06:00
"A-62 Km 177,8",Siete Iglesias De Trabancos,47511,Valladolid,1.769,NA,1.705,1.779,-5.178088,41.346954,CEPSA,L-D: 24H,2023-09-01 06:00
A-62 Km 225,Pedrosillo El Ralo,37427,Salamanca,1.769,NA,1.699,1.799,-5.544444,41.054917,CEPSA,L-D: 06:00-23:59,2023-09-01 00:00
A-62 Km 275,Aldehuela De La Bóveda,37460,Salamanca,1.749,NA,1.719,NA,-6.050750,40.849972,BERNAL,L-D: 07:30-23:00,2023-08-30 10:14
"A-62 Km 41,6",Villodrigo,34257,Palencia,1.749,1.881,1.695,1.815,-4.079667,42.159083,CEPSA,L-D: 08:00-21:00,2023-09-01 00:00
A-7 Km 17,Tibi,03109,Alicante,1.789,1.931,1.689,1.779,-0.603167,38.498222,BP XIRAU,L-D: 06:30-22:00,2023-09-01 00:00
"A-92 Km 15,4",Alcalá De Guadaíra,41500,Sevilla,1.799,NA,1.745,1.819,-5.827611,37.346333,CEPSA,L-D: 24H,2023-09-01 06:00
A-92 Sevilla-Malaga Km 5.900,Alcalá De Guadaíra,41500,Sevilla,1.759,NA,1.649,1.729,-5.879972,37.370056,SHELL,L-V: 06:00-21:00,2023-08-31 14:00
A-92a Km 333,Fiñana,04500,Almería,1.759,1.869,1.689,1.749,-2.832778,37.160889,CEPSA,L-D: 06:00-00:00,2023-08-29 23:00
"A494 Km 17,400",Palos De La Frontera,21810,Huelva,1.789,1.949,1.709,1.809,-6.872722,37.197472,REPSOL,L: 07:00-22:00,2023-09-01 00:00
Ac-862 Km 24,Moeche,15563,Coruña (A),1.779,NA,1.649,1.679,-8.021861,43.565417,ORTEGAL OIL,L-S: 07:00-22:00; D: 09:30-13:30 y 16:00-20:00,2023-08-31 12:08
"Ac-862 Km 31,30",Cerdido,15569,Coruña (A),1.779,1.799,1.649,NA,-7.953694,43.603583,ORTEGAL OIL,L-S: 08:00-14:00 y 16:00-20:00,2023-08-29 14:03
"Acceso A2622, 0",Erriberagoitia/Ribera Alta,01420,Araba/Álava,1.859,NA,1.739,NA,-2.901944,42.811250,E.S. TOCALU,L-D: 07:00-22:00,2023-08-31 09:57
"Acceso Acceso Aeropuerto Tenerife Sur, 1",Granadilla De Abona,38610,Santa Cruz De Tenerife,1.275,1.385,1.245,1.345,-16.574639,28.050000,DISA AEROPUERTO TFS,L-D: 24H,2023-08-30 13:30
"Acceso Aeropuerto De Barcelona, Lado Aire, S/N",Sant Boi De Llobregat,08830,Barcelona,1.889,NA,1.719,NA,2.059222,41.293806,CEPSA,L-D: 24H,2023-09-01 06:00
"Acceso Aeropuerto De Lanzarote-Lado Aire, Sn",Arrecife,35500,Palmas (Las),1.369,NA,1.359,NA,-13.603778,28.955417,CEPSA,L-D: 07:00-23:00,2023-09-01 00:00
"Acceso Aeropuerto De Lanzarote-Lado Tierra, Sn",Arrecife,35500,Palmas (Las),1.339,1.469,1.309,1.409,-13.607806,28.953806,CEPSA,L-D: 07:00-23:00,2023-09-01 00:00
"Acceso Area De Expansion Ganadera, 2",La Puebla De Valverde,44450,Teruel,NA,NA,NA,NA,-0.920306,40.210083,CEREALES TERUEL,L-V: 24H,2023-08-29 21:00
"Acceso Aéropuerto Lavacolla, S/N",Santiago De Compostela,15702,Coruña (A),1.871,1.961,1.751,1.801,-8.422778,42.898944,SHELL,L-D: 07:00-23:00,2023-08-31 00:17
"Acceso Carretera A La Hidalga, S/N",Arafo,38550,Santa Cruz De Tenerife,1.254,1.369,1.219,1.344,-16.384833,28.330194,CEPSA,L-D: 24H,2023-09-01 00:00
"Acceso Ctr. Sevilla - Coria, Km. 11,",Coria Del Río,41100,Sevilla,1.629,NA,1.479,NA,-6.058278,37.293750,PLENOIL,L-D: 24H,2023-08-31 18:50
"Acceso Ctra, 4",Santpedor,08251,Barcelona,1.779,1.889,1.619,1.669,1.851972,41.779139,REPSOL,L-V: 06:00-22:00,2023-09-01 00:00
"Acceso Ctra. N-Vi.  Robra,",Outeiro De Rei,27150,Lugo,1.679,1.829,1.599,NA,-7.606361,43.084528,Q8,L-D: 24H,2023-08-31 15:45
"Acceso Norte A Vandellòs (C-233 Km 9,8)",Vandellòs I L'hospitalet De L'infant,43891,Tarragona,1.559,NA,1.459,1.519,0.827250,41.020139,ALAS,L-D: 07:00-13:00 y 15:00-21:00,2023-08-31 17:36
"Acceso Partida Saso Bajo, S/N",Lanaja,22250,Huesca,NA,NA,1.561,NA,-0.329750,41.775750,AN ENERGÉTICOS - LANAJA,L-D: 24H,2023-08-30 17:43
"Acceso Plan Parcial Les Viñes Cv 403 Nuevo Acceso A Xirivella C-3215, Sn",Mislata,46920,Valencia / València,1.819,NA,1.709,1.779,-0.433111,39.468611,GALP,L-D: 06:00-22:00,2023-09-01 06:12
"Ae Vial Salida Aeropuerto, S.n.",Palma,07611,Balears (Illes),1.849,1.989,1.739,1.809,2.722944,39.545917,REPSOL,L-D: 24H,2023-09-01 00:00
"Aguilar-Barruelo Km 13,3",Barruelo De Santullán,34820,Palencia,1.779,NA,1.689,NA,-4.287667,42.894639,LOS LINARES,L-V: 08:00-21:00; S-D: 09:00-14:30 y 16:30-21:00,2023-08-30 09:24
"Alameda De Andalucía, 42",Antequera,29200,Málaga,1.615,NA,1.519,NA,-4.565361,37.021833,ASC CARBURANTES,L-D: 24H,2023-09-01 08:10
"Alameda Solano, 18 (N-340a Km 5,1)",Chiclana De La Frontera,11130,Cádiz,1.789,1.921,1.709,1.769,-6.144250,36.426639,CEPSA,L-D: 06:00-22:00,2023-09-01 00:00
"Alcala, 284-286",Madrid,28027,Madrid,1.819,1.951,1.695,1.775,-3.651333,40.432306,CEPSA,L-D: 24H,2023-09-01 00:00
Alcampo  Hipermercado  (C.c. Bonaire) Ctra.  N-Iii Km. 345,Aldaia,46960,Valencia / València,1.699,1.783,1.569,1.619,-0.484833,39.470722,"ALCAMPO, S.A.",L-S: 07:00-22:00,2023-08-30 12:23
Alcampo Hipermercado ( Centro Comercial Salera ) (Carretera 340 Km 64.500),Castelló De La Plana,12006,Castellón / Castelló,1.689,1.833,1.589,1.629,-0.065389,39.979472,ALCAMPO,L-D: 24H,2023-08-31 18:36
"Aldea Av Aurelio Menendez, Sn",Ibias,33810,Asturias,1.789,NA,1.699,NA,-6.871306,43.038139,CAMPSA,L-D: 08:00-14:00 y 15:00-21:00,2023-09-01 00:00
"Aldea Carretera De La Muela, S/N",Vejer De La Frontera,11150,Cádiz,NA,NA,1.520,NA,-6.002778,36.270000,CODISAL,L-D: 07:00-22:00,2023-08-31 15:01
Alferez Provisionales S/N,Melilla,52001,Melilla,1.353,NA,1.294,1.334,-2.946306,35.290472,SHELL,L-S: 07:00-23:00,2023-08-30 15:00
"Alfonso X El Sabio, S/N,",Mataró,08301,Barcelona,1.689,1.829,1.519,NA,2.449306,41.545472,Q8,L-D: 24H,2023-08-31 15:45
"Alicante, 1 - P.i. Beniata",Alcoy/Alcoi,03800,Alicante,1.604,NA,1.514,NA,-0.477972,38.695083,GASOLINERA ALCOY,L-D: 24H,2023-08-30 18:28
"Almogavares, 66",Barcelona,08018,Barcelona,1.829,NA,1.639,1.729,2.186482,41.394195,GALP,L-D: 24H,2023-09-01 06:10
Alzira/Carcaixent Km 0.400,Alzira,46600,Valencia / València,1.598,NA,1.488,NA,-0.439472,39.141611,ALZICOOP CARBURANTS,L-D: 24H,2023-08-31 09:47
Antigua Nacional Vi Km 368,Bembibre,24300,León,1.719,1.839,1.639,1.699,-6.401389,42.608861,REPSOL,L-S: 08:00-15:00,2023-09-01 00:00
Antxotxipi Nº 17 - Zaisa Iii,Irun,20305,Gipuzkoa,NA,NA,1.649,NA,-1.766167,43.337500,SACYTRANS,L-D: 24H,2023-08-31 18:04
"Ap-1535 Km 2,000",L'alfàs Del Pi,03581,Alicante,1.754,1.884,1.644,1.714,-0.082972,38.567722,GALP,L-D: 06:00-22:00,2023-09-01 06:15
Ap-4 (Mrg.dcho.) Km 70,Jerez De La Frontera,11407,Cádiz,1.809,1.951,1.719,1.809,-6.044722,36.781500,BP AP4 CUADREJON SEVILLA,L-D: 07:00-23:00,2023-09-01 00:00
Ap-4 (Mrg.izdo.) Km 70,Jerez De La Frontera,11407,Cádiz,1.809,1.951,1.719,1.809,-6.043167,36.781250,BP AP4 CUADREJON JEREZ,L-D: 07:00-23:00,2023-09-01 00:00
Ap-4 Km 45,Las Cabezas De San Juan,41730,Sevilla,1.819,1.959,1.729,1.819,-5.938889,37.000861,ENI,L-D: 24H,2023-08-30 10:00
"Ap-53 Km 28,000",Silleda,36453,Pontevedra,1.749,1.869,1.689,1.779,-8.300833,42.716389,GALP,L-D: 24H,2023-08-31 19:33
"Ap-7 (Mrg.dcho.) Km 358,2",Benicarló,12580,Castellón / Castelló,1.849,NA,1.719,1.799,0.406056,40.459222,CEPSA,L-D: 24H,2023-09-01 06:00
Ap-8 (Mrg.dcho.) Km 55,Deba,20829,Gipuzkoa,1.834,1.966,1.729,1.795,-2.329861,43.284528,CEPSA,L-D: 24H,2023-08-31 10:29
Ap-8 (Mrg.izdo.) Km 55,Deba,20829,Gipuzkoa,1.834,1.966,1.729,1.795,-2.328222,43.284944,CEPSA,L-D: 24H,2023-08-31 10:29
Arañaburu 3-B,Oiartzun,20180,Gipuzkoa,NA,NA,1.729,NA,-1.861056,43.317056,INSAUSTI,L-D: 24H,2023-08-29 09:52
"Area, Arrabal Butiplaya La, 1",Mijas,29649,Málaga,1.809,1.951,1.719,1.809,-4.682833,36.501889,BP LA CALA,L-D: 24H,2023-08-31 10:35
"Area, Arrabal El Pla, 2",Villanueva De Castellón,46270,Valencia / València,1.599,NA,1.499,NA,-0.538222,39.064694,GASEXPRESS,L-D: 24H,2023-08-29 13:14
"Arturo Soria, 29",Madrid,28027,Madrid,1.819,1.969,1.709,1.719,-3.640833,40.441444,REPSOL,L-D: 24H,2023-08-31 15:00
"As-112 Km 5,8",Aller,33685,Asturias,1.789,1.929,1.709,1.769,-5.674861,43.164750,REPSOL,L-V: 08:30-14:30 y 16:00-21:00; S-D: 08:00-16:00,2023-09-01 00:00
As-228 Km 28,Teverga,33110,Asturias,1.789,NA,1.699,1.759,-6.096833,43.164806,PETRONOR,L-D: 07:00-15:00,2023-09-01 00:00
As219 Km 25800,Tineo,33873,Asturias,1.789,NA,1.699,1.749,-6.543028,43.408639,REPSOL,L-D: 08:00-20:00,2023-09-01 00:00
"At  A-1 P.k. 116,0 D",Boceguillas,40560,Segovia,1.769,1.929,1.669,1.769,-3.631417,41.325139,REPSOL,L-D: 07:00-23:00,2023-09-01 00:00
"At A-3, 322",Buñol,46360,Valencia / València,1.849,2.009,1.729,1.829,-0.754528,39.444778,REPSOL,L-D: 06:00-22:00,2023-09-01 00:00
"At A-3, 337",Chiva,46370,Valencia / València,1.819,1.969,1.719,1.809,-0.588833,39.475222,REPSOL,L-D: 24H,2023-09-01 00:00
"At A-8, 131",Abanto Y Ciérvana-Abanto Zierbena,48500,Bizkaia,1.829,1.989,1.739,1.839,-3.068806,43.328500,PETRONOR,L-D: 24H,2023-09-01 00:00
"At A-8, 131",Abanto Y Ciérvana-Abanto Zierbena,48500,Bizkaia,1.829,1.989,1.739,1.839,-3.067722,43.327111,PETRONOR,L-D: 24H,2023-09-01 00:00
"At Ap-66, 126",Rioseco De Tapia,24275,León,1.779,1.939,1.669,1.769,-5.770944,42.691639,REPSOL,L-D: 07:00-23:00,2023-09-01 00:00
"At Ap-66, 126",Rioseco De Tapia,24275,León,1.779,1.939,1.669,1.769,-5.767500,42.690583,REPSOL,L-D: 24H,2023-09-01 00:00
"Au  A-8 ,P.k. 256",Valdáliga,39593,Cantabria,1.849,2.009,1.749,1.849,-4.329278,43.333972,REPSOL,L-D: 24H,2023-09-01 00:00
"Au  A-8 ,P.k. 256",Valdáliga,39593,Cantabria,1.849,2.009,1.749,1.849,-4.330611,43.334083,REPSOL,L-D: 24H,2023-09-01 00:00
"Au A-10, 3",Camargo,39600,Cantabria,1.809,1.969,1.709,1.809,-3.835611,43.425278,REPSOL,L-D: 06:00-22:00,2023-09-01 00:00
"Au A-10, 5",Camargo,39600,Cantabria,1.819,1.979,1.719,1.819,-3.836333,43.412444,REPSOL,L-D: 07:00-23:00,2023-09-01 00:00
"Au A-15, 14",Valtierra,31514,Navarra,1.799,1.959,1.699,1.799,-1.676278,42.200333,REPSOL,L-D: 24H,2023-09-01 00:00
"Au A-15, 14",Valtierra,31514,Navarra,1.799,1.959,1.699,1.799,-1.674889,42.200361,REPSOL,L-D: 24H,2023-09-01 00:00
"Au A-15, 78",Noáin (Valle De Elorz)/Noain (Elortzibar),31119,Navarra,1.849,NA,1.739,1.849,-1.618028,42.731944,CEPSA,L-D: 24H,2023-09-01 06:00
"Au A-15, 78",Noáin (Valle De Elorz)/Noain (Elortzibar),31119,Navarra,1.839,1.971,1.719,1.799,-1.615528,42.724889,CEPSA,L-D: 24H,2023-09-01 06:00
"Au A-15, 98,5",Iza/Itza,31892,Navarra,1.839,1.999,1.729,1.829,-1.743917,42.861639,REPSOL,L-D: 24H,2023-09-01 00:00
"Au A-68, 283",Sobradiel,50629,Zaragoza,1.779,1.939,1.699,1.799,-1.031417,41.730583,PETRONOR,L-D: 24H,2023-09-01 00:00
"Au A-68, 283",Sobradiel,50629,Zaragoza,1.779,1.939,1.699,1.799,-1.029833,41.731639,REPSOL,L-D: 24H,2023-09-01 00:00
"Au A-7  277,8",Algarrobo,29750,Málaga,1.819,1.979,1.719,1.799,-4.050556,36.760194,REPSOL,L-D: 07:00-23:00,2023-09-01 00:00
"Au A-8, 182",Bárcena De Cicero,39791,Cantabria,1.819,1.979,1.729,1.829,-3.542028,43.411417,REPSOL,L-D: 06:00-22:00,2023-09-01 00:00
"Au A-8, 195",Entrambasaguas,39716,Cantabria,1.819,NA,1.729,1.829,-3.683500,43.389806,REPSOL,L-D: 06:00-22:00,2023-09-01 00:00
"Au Ap-1   (Izda), 12",Quintanapalla,09290,Burgos,1.785,1.945,1.705,1.805,-3.549556,42.404750,REPSOL,L-D: 24H,2023-09-01 00:00
"Au Ap-1  (Dcha), 12",Quintanapalla,09290,Burgos,1.785,1.935,1.705,1.795,-3.549583,42.404111,REPSOL,L-D: 24H,2023-09-01 00:00
"Au Ap-68, 100",San Asensio,26340,Rioja (La),1.809,1.969,1.699,1.799,-2.752889,42.513222,PETRONOR,L-D: 07:00-23:00,2023-09-01 00:00
"Au Ap-68, 100",San Asensio,26340,Rioja (La),1.809,1.959,1.699,1.789,-2.754389,42.511667,PETRONOR,L-D: 07:00-23:00,2023-09-01 00:00
"Au Ap-68, 136,2",Logroño,26006,Rioja (La),1.809,1.969,1.699,1.799,-2.370917,42.450417,REPSOL,L-D: 24H,2023-09-01 00:00
"Au Ap-68, 36",Zuia,01139,Araba/Álava,1.829,1.989,1.719,1.819,-2.870083,42.966111,PETRONOR,L-D: 06:00-23:00,2023-09-01 00:00
"Au Ap-68, 36",Zuia,01139,Araba/Álava,1.829,1.989,1.719,1.819,-2.873583,42.966472,REPSOL,L-D: 06:00-23:00,2023-09-01 00:00
"Au Ap-68, 6",Arrigorriaga,48480,Bizkaia,1.819,1.979,1.729,1.829,-2.897389,43.190194,PETRONOR,L-D: 24H,2023-09-01 00:00
"Au Ap-68, 63  D",Erriberabeitia,01213,Araba/Álava,1.829,1.989,1.719,1.819,-2.913306,42.743111,PETRONOR,L-D: 24H,2023-09-01 00:00
"Au Ap-68, 63,5",Erriberabeitia,01213,Araba/Álava,1.829,1.989,1.719,1.819,-2.913222,42.741361,PETRONOR,L-D: 24H,2023-09-01 00:00
"Au Ap-7   Oeste, 208",Sant Jaume Dels Domenys,43713,Tarragona,1.845,2.005,1.679,1.779,1.589944,41.289444,REPSOL,L-D: 24H,2023-09-01 00:00
"Au Ap-7  161,00 D",Estepona,29680,Málaga,1.839,1.999,1.729,1.829,-5.114944,36.465167,REPSOL,L-D: 24H,2023-09-01 00:00
"Au Ap-7  224,00  D",Torremolinos,29620,Málaga,1.839,1.999,1.729,1.829,-4.526917,36.613250,REPSOL,L-D: 24H,2023-09-01 00:00
"Au Ap-7  224,00  I",Torremolinos,29620,Málaga,1.839,1.999,1.729,1.829,-4.527250,36.613611,REPSOL,L-D: 24H,2023-09-01 00:00
"Au Ap-7, 161,00 I",Estepona,29680,Málaga,1.839,1.989,1.729,1.819,-5.116556,36.463556,REPSOL,L-D: 24H,2023-09-01 00:00
"Au Ap-7, 187,00 I",Marbella,29600,Málaga,1.849,2.009,1.739,1.839,-4.830278,36.519417,REPSOL,L-D: 24H,2023-09-01 00:00
"Au Ap-7, 86",Maçanet De La Selva,17412,Girona,1.849,2.009,1.689,1.789,2.739972,41.772833,REPSOL,L-D: 24H,2023-09-01 00:00
"Autopista A - 4 Km. 23,300",Pinto,28320,Madrid,1.799,1.929,1.699,1.759,-3.684694,40.218694,REPSOL,L-V: 06:00-22:00; S: 06:00-14:00,2023-09-01 00:00
"Autopista A-126 Km. 37,850",Tauste,50660,Zaragoza,1.689,1.849,1.589,1.619,-1.245778,41.893639,"LABOIL, S.L.",L-D: 24H,2023-09-01 08:20
Autopista A-2 Km. 125,Saúca,19262,Guadalajara,1.769,1.879,1.669,1.719,-2.554806,41.013750,REPSOL,L-D: 07:00-23:00,2023-09-01 00:00
Autopista A-2 Km. 221,Ateca,50200,Zaragoza,1.749,NA,1.699,NA,-1.768167,41.312778,ARENTO,L-D: 24H,2023-08-29 13:23
"Autopista A-2 Km. 276,9",Calatorao,50280,Zaragoza,1.779,NA,1.689,1.779,-1.321250,41.501750,BP,L-V: 06:00-23:00; S: 07:00-22:00; D: 07:00-23:00,2023-08-31 10:10
"Autopista A-5 Km. 37,5",Casarrubios Del Monte,45950,Toledo,1.829,1.959,1.739,1.819,-4.057528,40.244667,SHELL,L-V: 06:00-00:00; S: 07:00-23:00; D: 07:00-00:00,2023-08-30 11:45
Autopista A-66 Km. 33,Oviedo,33001,Asturias,1.839,1.959,1.739,1.839,-5.869306,43.340556,REPSOL,L-D: 24H,2023-09-01 00:00
Autopista A-66 Km. 727,Monesterio,06260,Badajoz,1.789,1.949,1.729,1.829,-6.220556,38.029444,REPSOL,L-D: 24H,2023-09-01 00:00
Autopista A-66 Km. 89,Sena De Luna,24146,León,1.784,1.916,1.679,1.779,-5.856583,42.928972,CEPSA,L-D: 24H,2023-08-31 00:00
Autopista A-68 Km. 222,Fontellas,31512,Navarra,1.839,1.999,1.739,1.839,-1.600861,42.012583,REPSOL,L-D: 24H,2023-09-01 00:00
Autopista A-68 Km. 246,Utebo,50180,Zaragoza,1.769,1.929,1.679,1.739,-0.957889,41.677167,REPSOL,L-V: 07:00-21:00; S: 08:00-15:00,2023-09-01 00:00
"Autopista A-68 Km. 258,2",Pinseque,50298,Zaragoza,1.759,1.919,1.679,1.759,-1.076389,41.738306,REPSOL,L-V: 06:00-22:00; S-D: 08:00-22:00,2023-09-01 00:00
"Autopista A-7 Km. 659,8",Massalavés,46292,Valencia / València,1.839,1.959,1.719,1.799,-0.527806,39.153972,REPSOL,L-D: 24H,2023-09-01 00:00
"Autopista A-7 Km. 659,8",Massalavés,46292,Valencia / València,1.839,1.959,1.719,1.799,-0.529361,39.154583,REPSOL,L-D: 24H,2023-09-01 00:00
"Autopista A-8 Km. 401,5",Carreño,33469,Asturias,1.829,1.989,1.729,1.829,-5.817333,43.511278,PETRONOR,L-D: 24H,2023-09-01 00:00
Autopista A-8 Km. 456,Siero,33429,Asturias,1.849,1.999,1.739,1.829,-5.779944,43.393944,REPSOL,L-D: 24H,2023-08-31 11:28
Autopista A-9 Km. 114,Portas,36658,Pontevedra,1.799,1.919,1.709,1.799,-8.671833,42.562500,BP,L-D: 24H,2023-08-31 23:00
Autopista A-9 Km. 114,Portas,36658,Pontevedra,1.799,1.919,1.709,1.799,-8.672250,42.562583,BP,L-D: 24H,2023-08-31 23:00
Autopista A-9 Km. 81,Teo,15886,Coruña (A),1.799,1.919,1.719,1.809,-8.585778,42.811500,GALP,L-D: 24H,2023-08-31 19:32
Autopista A6 Km. 196,Vega De Valdetronco,47133,Valladolid,1.809,NA,1.719,1.799,-5.121806,41.597806,CEPSA,L-D: 07:00-23:00,2023-08-30 13:26
Autopista Ap 7 Km 7 Km. 7,La Jonquera,17700,Girona,1.839,1.969,1.699,1.789,2.874611,42.405417,GALP,L-D: 24H,2023-09-01 06:10
Autopista Ap 7 Km. 117,Llinars Del Vallès,08450,Barcelona,1.859,1.999,1.719,1.809,2.425611,41.647972,GALP,L-D: 24H,2023-09-01 06:10
Autopista Ap 7 Km. 237,Altafulla,43893,Tarragona,1.859,1.991,1.709,1.809,1.351806,41.136056,CEPSA,L-D: 24H,2023-09-01 00:00
Autopista Ap 7 Km. 696,Agost,03698,Alicante,1.854,1.974,1.724,1.794,-0.599972,38.406528,GALP,L-D: 24H,2023-09-01 06:10
Autopista Ap 7 Km. 696,Agost,03698,Alicante,1.854,1.974,1.724,1.814,-0.599444,38.408861,GALP,L-D: 24H,2023-09-01 06:15
"Autopista Ap 7 Km. 70,5",Riudellots De La Selva,17457,Girona,1.819,1.939,1.679,1.769,2.772056,41.905889,GALP,L-D: 24H,2023-09-01 06:10
"Autopista Ap-1 (Mrg.dcho.) Km. 35,5",Briviesca,09240,Burgos,1.804,1.936,1.705,1.799,-3.334111,42.526028,CEPSA,L-D: 24H,2023-09-01 06:00
"Autopista Ap-1 (Mrg.dcho.) Km. 63,5",Ameyugo,09219,Burgos,1.804,1.936,1.705,1.799,-3.069667,42.650611,CEPSA,L-D: 24H,2023-09-01 06:00
"Autopista Ap-1 (Mrg.izdo.) Km. 35,5",Briviesca,09240,Burgos,1.804,1.936,1.705,1.799,-3.332083,42.528861,CEPSA,L-D: 24H,2023-09-01 06:00
"Autopista Ap-1 (Mrg.izdo.) Km. 63,5",Ameyugo,09219,Burgos,1.804,1.936,1.705,1.799,-3.068028,42.651972,CEPSA,L-D: 24H,2023-09-01 06:00
"Autopista Ap-1 Km. 121,500",Eskoriatza,20540,Gipuzkoa,1.829,1.989,1.739,1.839,-2.535278,43.016944,REPSOL,L-D: 24H,2023-09-01 00:00
